                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0058,                 2.1306,                 1.0897,                0.97913,                0.09981,                0.79351,                0.59243,                 0.8581,                 2.7901,                0.90589,             0.00054211,             0.00054211,             0.00054211
                      2,                0.96588,                 1.2485,                 1.0644,                0.73611,                0.51068,                0.67436,                0.45885,                 1.0224,                 2.2616,                 1.0883,              0.0010956,              0.0010956,              0.0010956
                      3,                0.96541,                 1.1814,                 1.0779,                0.72201,                0.81766,                0.81996,                0.61296,                0.92881,                 1.4617,                 1.0685,              0.0016469,              0.0016469,              0.0016469
                      4,                0.96419,                 1.0684,                 1.0732,                0.73073,                0.77102,                0.89606,                0.65436,                0.93316,                  1.495,                 1.0438,              0.0016571,              0.0016571,              0.0016571
                      5,                0.94789,                0.94852,                 1.0791,                 0.7502,                0.70093,                0.71864,                0.53324,                0.95378,                 1.8654,                 1.0807,              0.0016571,              0.0016571,              0.0016571
                      6,                0.94323,                0.93103,                 1.0674,                0.92499,                0.94225,                0.95146,                0.71984,                0.86649,                0.97094,                 1.0163,              0.0016538,              0.0016538,              0.0016538
                      7,                0.92167,                0.81957,                 1.0615,                0.89529,                0.91687,                0.94111,                0.69949,                0.91625,                0.83815,                 1.0448,              0.0016505,              0.0016505,              0.0016505
                      8,                0.89933,                0.76856,                 1.0594,                 0.9069,                0.92258,                  0.948,                0.71753,                0.88826,                0.74703,                 1.0212,              0.0016472,              0.0016472,              0.0016472
                      9,                0.90215,                 0.7167,                 1.0657,                0.90813,                0.94601,                 0.9481,                0.73445,                 0.8744,                0.74247,                 1.0323,              0.0016439,              0.0016439,              0.0016439
                     10,                0.90065,                0.72767,                 1.0523,                0.89814,                0.92278,                0.95109,                0.73925,                0.85313,                 0.6956,                 1.0132,              0.0016406,              0.0016406,              0.0016406
                     11,                0.91615,                0.70882,                 1.0572,                0.88766,                0.86745,                0.92202,                0.68048,                0.94229,                0.79572,                 1.0767,              0.0016373,              0.0016373,              0.0016373
                     12,                0.91201,                0.69102,                 1.0704,                0.91039,                0.93245,                0.95603,                0.75158,                0.83533,                0.64398,                 1.0125,               0.001634,               0.001634,               0.001634
                     13,                0.89134,                0.65416,                 1.0558,                0.89538,                0.96592,                0.95376,                0.74102,                0.80546,                0.61085,                 1.0018,              0.0016307,              0.0016307,              0.0016307
                     14,                0.87776,                0.60818,                 1.0459,                0.90606,                0.93818,                0.94905,                0.74102,                0.86513,                0.64636,                 1.0339,              0.0016274,              0.0016274,              0.0016274
                     15,                0.89404,                0.63331,                 1.0526,                0.92118,                0.94418,                0.96923,                 0.7693,                0.80553,                0.58242,                 0.9925,              0.0016241,              0.0016241,              0.0016241
                     16,                0.87705,                0.62048,                 1.0472,                0.88658,                 0.9592,                0.95728,                0.72677,                0.87037,                0.60249,                 1.0139,              0.0016208,              0.0016208,              0.0016208
                     17,                 0.8551,                0.59227,                 1.0299,                0.91026,                0.95665,                0.96045,                0.75552,                0.81359,                0.55604,                 1.0225,              0.0016175,              0.0016175,              0.0016175
                     18,                0.84782,                0.57857,                 1.0366,                0.88924,                0.95577,                0.95773,                0.74896,                0.84018,                 0.5885,                 1.0185,              0.0016142,              0.0016142,              0.0016142
                     19,                0.86713,                0.57322,                 1.0426,                0.92899,                 0.9264,                0.95686,                0.75513,                0.81996,                0.56791,                 1.0085,              0.0016109,              0.0016109,              0.0016109
                     20,                0.84518,                0.56413,                 1.0339,                 0.8793,                0.97454,                0.95077,                0.73369,                0.83954,                 0.5968,                 1.0279,              0.0016076,              0.0016076,              0.0016076
                     21,                0.82632,                0.54979,                 1.0214,                 0.9104,                0.96683,                  0.955,                0.74748,                0.80209,                0.55276,                 1.0022,              0.0016043,              0.0016043,              0.0016043
                     22,                0.84485,                0.55228,                 1.0193,                0.90355,                0.93299,                0.95099,                0.74585,                0.80033,                0.58366,                0.99234,               0.001601,               0.001601,               0.001601
                     23,                0.84507,                 0.5677,                 1.0365,                0.91814,                0.93774,                 0.9578,                0.75452,                0.81376,                0.57398,                 1.0069,              0.0015977,              0.0015977,              0.0015977
                     24,                0.84873,                0.55303,                 1.0257,                0.92121,                0.96347,                0.96002,                0.75815,                0.83842,                0.52336,                 1.0009,              0.0015944,              0.0015944,              0.0015944
